iteration,already_cleaned_rows,total_corrupted_rows,false_corruption_alarm,correct_corruption_alarm,corruption_not_detected_yet,fraction_data_cleaned,model_score
0,0,475,28,22,453,0.04631578947368421,0.5420168042182922
1,22,475,29,21,432,0.09052631578947369,0.8823529481887817
2,43,475,28,22,410,0.1368421052631579,0.8781512379646301
3,65,475,24,26,384,0.19157894736842104,0.8865545988082886
4,91,475,31,19,365,0.23157894736842105,0.9159663915634155
5,110,475,33,17,348,0.2673684210526316,0.9075630307197571
6,127,475,33,17,331,0.3031578947368421,0.9201680421829224
7,144,475,30,20,311,0.3452631578947368,0.9117646813392639
8,164,475,34,16,295,0.37894736842105264,0.9159663915634155
9,180,475,31,19,276,0.4189473684210526,0.8781512379646301
