iteration,already_cleaned_rows,total_corrupted_rows,false_corruption_alarm,correct_corruption_alarm,corruption_not_detected_yet,fraction_data_cleaned,model_score
0,0,238,1,49,189,0.20588235294117646,
1,49,238,1,49,140,0.4117647058823529,
2,98,238,9,41,99,0.5840336134453782,
3,139,238,13,37,62,0.7394957983193278,
4,176,238,27,23,39,0.8361344537815126,
5,199,238,44,6,33,0.8613445378151261,
6,205,238,39,11,22,0.907563025210084,
7,216,238,48,2,20,0.9159663865546218,
8,218,238,49,1,19,0.9201680672268907,
9,219,238,48,2,17,0.9285714285714286,
