iteration,already_cleaned_rows,total_corrupted_rows,false_corruption_alarm,correct_corruption_alarm,corruption_not_detected_yet,fraction_data_cleaned,model_score
0,0,474,19,31,443,0.06540084388185655,0.4541666805744171
1,31,474,25,25,418,0.11814345991561181,0.7541666626930237
2,56,474,27,23,395,0.16666666666666666,0.862500011920929
3,79,474,30,20,375,0.2088607594936709,0.6666666865348816
4,99,474,28,22,353,0.2552742616033755,0.8708333373069763
5,121,474,29,21,332,0.29957805907172996,0.9041666388511658
6,142,474,38,12,320,0.32489451476793246,0.9083333611488342
7,154,474,37,13,307,0.35232067510548526,0.925000011920929
8,167,474,31,19,288,0.3924050632911392,0.9041666388511658
9,186,474,37,13,275,0.41983122362869196,0.9208333492279053
