iteration,already_cleaned_rows,total_corrupted_rows,false_corruption_alarm,correct_corruption_alarm,corruption_not_detected_yet,fraction_data_cleaned,model_score
0,0,238,2,48,190,0.20168067226890757,0.7226890921592712
1,48,238,8,42,148,0.37815126050420167,0.8361344337463379
2,90,238,8,42,106,0.5546218487394958,0.819327712059021
3,132,238,17,33,73,0.6932773109243697,0.8571428656578064
4,165,238,25,25,48,0.7983193277310925,0.8907563090324402
5,190,238,39,11,37,0.8445378151260504,0.8781512379646301
6,201,238,39,11,26,0.8907563025210085,0.894957959651947
7,212,238,44,6,20,0.9159663865546218,0.924369752407074
8,218,238,45,5,15,0.9369747899159664,0.9117646813392639
9,223,238,49,1,14,0.9411764705882353,0.8907563090324402
