iteration,already_cleaned_rows,total_corrupted_rows,false_corruption_alarm,correct_corruption_alarm,corruption_not_detected_yet,fraction_data_cleaned,model_score
0,0,484,26,24,460,0.049586776859504134,0.3257918655872345
1,24,484,30,20,440,0.09090909090909091,0.4615384638309479
2,44,484,25,25,415,0.14256198347107438,0.8642534017562866
3,69,484,26,24,391,0.1921487603305785,0.9140271544456482
4,93,484,31,19,372,0.23140495867768596,0.692307710647583
5,112,484,35,15,357,0.26239669421487605,0.7375565767288208
6,127,484,36,14,343,0.29132231404958675,0.5565611124038696
7,141,484,34,16,327,0.3243801652892562,0.8959276080131531
8,157,484,33,17,310,0.359504132231405,0.7375565767288208
9,174,484,35,15,295,0.390495867768595,0.9004524946212769
