test_corruption,train_corruption,corruption_fraction,feature,accuracy,non_protected_fnr,protected_fnr
False,False,,,0.8163427211424038,0.35735110370678885,0.4672131147540984
True,False,0.2,age,0.6983339944466481,0.5873647006847802,0.7307086614173228
True,False,0.5,age,0.5208250694168981,0.6975019516003123,0.808242220353238
True,False,0.9,age,0.28864207325135527,0.7487072560467056,0.8474934036939314
True,False,0.2,workclass,0.8164088324738861,0.3563025210084034,0.46311475409836067
True,False,0.5,workclass,0.8164749438053682,0.353872486093282,0.45867768595041325
True,False,0.9,workclass,0.8165410551368505,0.3503713411970293,0.459915611814346
True,False,0.2,education,0.8140288245405263,0.35099032703823124,0.4585152838427948
True,False,0.5,education,0.8116488166071665,0.33406232914160744,0.43352601156069365
True,False,0.9,education,0.8051699061219093,0.31931575196008555,0.3983739837398374
True,True,0.2,age,0.813962713209044,0.35310344827586204,0.4368932038834951
True,True,0.5,age,0.8141610472034907,0.320520067834935,0.3987730061349693
True,True,0.9,age,0.8169377231257438,0.29797377830750893,0.4024390243902439
True,True,0.2,workclass,0.8187227290757636,0.2884731442365721,0.3767123287671233
True,True,0.5,workclass,0.8147560491868306,0.33794466403162055,0.4461538461538462
True,True,0.9,workclass,0.8129710432368108,0.35658558972005505,0.43781094527363185
True,True,0.2,education,0.8166071664683326,0.3043988269794721,0.38414634146341464
True,True,0.5,education,0.8119793732645776,0.36195210122006327,0.4381443298969072
True,True,0.9,education,0.8085415840275023,0.3327338129496403,0.41496598639455784
