test_corruption,train_corruption,corruption_fraction,feature,roc_auc,f1
False,False,,,0.6031717218656314,0.596335580064575
False,True,0.2,star_rating,0.598404274158131,0.6026006439814856
True,True,0.2,star_rating,0.59764062734233,0.5925382458830952
False,True,0.5,star_rating,0.6047438598544703,0.6087802764325532
True,True,0.5,star_rating,0.590088939350932,0.4931091113806925
False,True,0.9,star_rating,0.6091477512865773,0.5252750041482436
True,True,0.9,star_rating,0.6048510313216195,0.602001571143334
False,True,0.2,verified_purchase,0.6043255567632144,0.5855573144745483
True,True,0.2,verified_purchase,0.6008424064813437,0.593895836597395
False,True,0.5,verified_purchase,0.6001411589146897,0.5731836809912858
True,True,0.5,verified_purchase,0.6059103030111529,0.6072444156811987
False,True,0.9,verified_purchase,0.6079924402440628,0.6131721360778779
True,True,0.9,verified_purchase,0.6057345307782502,0.6051248424387077
False,True,0.2,review_headline,0.6052071817699342,0.5931693957137792
True,True,0.2,review_headline,0.6059331343870926,0.6026723503318112
False,True,0.5,review_headline,0.6022063867323115,0.5894540477294301
True,True,0.5,review_headline,0.6037806799996464,0.6017402946262675
False,True,0.9,review_headline,0.6002720169048456,0.5741896955908472
True,True,0.9,review_headline,0.5987540799590233,0.5932392726091018
