iteration,already_cleaned_rows,total_corrupted_rows,false_corruption_alarm,correct_corruption_alarm,corruption_not_detected_yet,fraction_data_cleaned,model_score
0,0,238,0,50,188,0.21008403361344538,0.743697464466095
1,50,238,5,45,143,0.39915966386554624,0.7941176295280457
2,95,238,10,40,103,0.5672268907563025,0.8151260614395142
3,135,238,17,33,70,0.7058823529411765,0.894957959651947
4,168,238,29,21,49,0.7941176470588235,0.8781512379646301
5,189,238,35,15,34,0.8571428571428571,0.924369752407074
6,204,238,45,5,29,0.8781512605042017,0.9159663915634155
7,209,238,45,5,24,0.8991596638655462,0.9075630307197571
8,214,238,48,2,22,0.907563025210084,0.9327731132507324
9,216,238,48,2,20,0.9159663865546218,0.9201680421829224
