iteration,already_cleaned_rows,total_corrupted_rows,false_corruption_alarm,correct_corruption_alarm,corruption_not_detected_yet,fraction_data_cleaned,model_score
0,0,238,0,50,188,0.21008403361344538,
1,50,238,1,49,139,0.41596638655462187,
2,99,238,7,43,96,0.5966386554621849,
3,142,238,17,33,63,0.7352941176470589,
4,175,238,36,14,49,0.7941176470588235,
5,189,238,38,12,37,0.8445378151260504,
6,201,238,38,12,25,0.8949579831932774,
7,213,238,46,4,21,0.9117647058823529,
8,217,238,47,3,18,0.9243697478991597,
9,220,238,49,1,17,0.9285714285714286,
