iteration,already_cleaned_rows,total_corrupted_rows,false_corruption_alarm,correct_corruption_alarm,corruption_not_detected_yet,fraction_data_cleaned,model_score
0,0,476,0,50,426,0.10504201680672269,0.32203391194343567
1,50,476,0,50,376,0.21008403361344538,0.8220338821411133
2,100,476,3,47,329,0.3088235294117647,0.8220338821411133
3,147,476,3,47,282,0.40756302521008403,0.8940678238868713
4,194,476,5,45,237,0.5021008403361344,0.8474576473236084
5,239,476,6,44,193,0.5945378151260504,0.9110169410705566
6,283,476,8,42,151,0.6827731092436975,0.9406779408454895
7,325,476,10,40,111,0.7668067226890757,0.9322034120559692
8,365,476,16,34,77,0.8382352941176471,0.9406779408454895
9,399,476,26,24,53,0.8886554621848739,0.9491525292396545
