iteration,already_cleaned_rows,total_corrupted_rows,false_corruption_alarm,correct_corruption_alarm,corruption_not_detected_yet,fraction_data_cleaned,model_score
0,0,238,0,50,188,0.21008403361344538,0.7521008253097534
1,50,238,3,47,141,0.40756302521008403,0.8067227005958557
2,97,238,10,40,101,0.5756302521008403,0.8151260614395142
3,137,238,16,34,67,0.7184873949579832,0.8697478771209717
4,171,238,22,28,39,0.8361344537815126,0.8571428656578064
5,199,238,42,8,31,0.8697478991596639,0.9201680421829224
6,207,238,45,5,26,0.8907563025210085,0.9327731132507324
7,212,238,48,2,24,0.8991596638655462,0.9033613204956055
8,214,238,47,3,21,0.9117647058823529,0.9033613204956055
9,217,238,47,3,18,0.9243697478991597,0.894957959651947
