test_corruption,train_corruption,corruption_fraction,feature,accuracy,non_protected_fnr,protected_fnr
False,False,,,0.8191855083961391,0.2962536023054755,0.38509316770186336
False,True,0.2,age,0.7145973819912733,0.5731244064577398,0.7047970479704797
True,True,0.2,age,0.8166732777998149,0.30751577739529545,0.3939393939393939
False,True,0.5,age,0.569483009387809,0.6774428425804573,0.7985971943887775
True,True,0.5,age,0.8166732777998149,0.3123948401570387,0.38922155688622756
False,True,0.9,age,0.28811318259949753,0.7497697010300645,0.8510074231177094
True,True,0.9,age,0.8172682797831549,0.29404617253948967,0.38509316770186336
False,True,0.2,workclass,0.8200411713925227,0.34096216721158334,0.4106280193236715
True,True,0.2,workclass,0.8166854715603638,0.3560344827586207,0.4248927038626609
False,True,0.5,workclass,0.8148951093540777,0.35406698564593303,0.4573643410852713
True,True,0.5,workclass,0.8197362999587968,0.31896103896103895,0.41237113402061853
False,True,0.9,workclass,0.8099767346380183,0.2668918918918919,0.32456140350877194
True,True,0.9,workclass,0.8177546807147433,0.29242119382964454,0.36419753086419754
False,True,0.2,education,0.8186566177442813,0.31919296430419036,0.391812865497076
True,True,0.2,education,0.8067565780774825,0.4028268551236749,0.4892086330935252
False,True,0.5,education,0.807219357397858,0.287758346581876,0.37815126050420167
True,True,0.5,education,0.8133677112257041,0.3324425440940673,0.41899441340782123
False,True,0.9,education,0.8086076953589846,0.3073170731707317,0.38686131386861317
True,True,0.9,education,0.8109215919608621,0.32887855897733875,0.4050632911392405
